Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2014-07-15,Adelaide,7.2,13.3,1.6,1.0,7.61,N,37.0,NNE,N,13.0,15.0,82.0,65.0,1013.7,1009.1,4.45,4.51,8.5,12.6,Yes,Yes
2014-07-16,Adelaide,8.4,16.6,2.8,0.4,7.61,WNW,57.0,N,NNW,13.0,22.0,92.0,63.0,1013.6,1011.6,4.45,4.51,10.5,15.5,Yes,Yes
2014-07-17,Adelaide,9.3,12.8,4.6,1.0,7.61,WSW,50.0,N,WSW,19.0,24.0,86.0,55.0,1016.5,1018.2,4.45,4.51,9.6,12.4,Yes,Yes
2014-08-11,Adelaide,5.1,12.7,0.4,4.0,7.61,W,24.0,ESE,SW,6.0,11.0,56.0,72.0,1034.3,1032.1,4.45,4.51,10.1,10.4,No,No
2014-08-12,Adelaide,4.5,13.5,0.0,0.8,7.61,SE,35.0,SE,SSE,9.0,19.0,58.0,39.0,1035.5,1034.1,4.45,4.51,10.0,12.8,No,No
2014-08-13,Adelaide,7.4,13.6,0.0,2.0,7.61,SSE,50.0,ESE,SSE,19.0,20.0,48.0,45.0,1037.6,1036.0,4.45,4.51,10.6,12.5,No,No
2014-08-14,Adelaide,9.8,15.5,0.0,2.2,7.61,SE,31.0,E,SE,11.0,15.0,65.0,47.0,1035.6,1031.4,4.45,4.51,11.7,14.7,No,No
2014-09-09,Adelaide,11.7,20.5,4.6,4.6,7.61,WNW,72.0,NW,NNW,17.0,22.0,70.0,31.0,1007.3,1004.9,4.45,4.51,14.8,18.3,Yes,Yes
2014-09-10,Adelaide,11.4,18.4,1.4,2.6,7.61,WNW,41.0,WNW,NW,20.0,20.0,74.0,61.0,1017.0,1016.7,4.45,4.51,15.1,17.0,Yes,Yes
2014-09-11,Adelaide,11.9,17.6,1.2,2.0,7.61,WSW,39.0,SW,WSW,13.0,20.0,67.0,38.0,1022.2,1022.8,4.45,4.51,14.5,17.1,Yes,No
2014-09-12,Adelaide,6.1,17.5,0.0,3.2,7.61,SW,30.0,NNE,WSW,9.0,15.0,54.0,49.0,1028.1,1026.0,4.45,4.51,13.9,17.2,No,No
2014-09-13,Adelaide,6.0,22.3,0.0,5.47,7.61,WNW,31.0,NNW,NNW,7.0,15.0,52.0,31.0,1025.1,1020.8,4.45,4.51,14.5,21.8,No,No
2014-09-14,Adelaide,8.8,26.5,0.0,5.47,7.61,E,37.0,NNE,N,11.0,15.0,35.0,23.0,1019.2,1013.7,4.45,4.51,19.4,26.1,No,No
2014-09-15,Adelaide,12.7,18.1,0.2,10.0,7.61,S,57.0,W,SW,26.0,24.0,77.0,69.0,1010.2,1013.5,4.45,4.51,15.0,16.2,No,No
2014-09-16,Adelaide,11.3,17.9,0.2,2.2,7.61,WSW,35.0,SW,W,15.0,22.0,68.0,47.0,1018.7,1016.9,4.45,4.51,14.8,16.8,No,Yes
2014-09-17,Adelaide,9.6,16.8,2.2,2.6,7.61,W,39.0,WSW,WSW,19.0,19.0,75.0,38.0,1022.0,1022.0,4.45,4.51,13.0,16.2,Yes,No
2014-09-18,Adelaide,5.8,14.9,0.0,3.4,7.61,ESE,30.0,SW,WSW,6.0,11.0,61.0,74.0,1027.4,1025.2,4.45,4.51,12.1,12.5,No,Yes
2014-09-19,Adelaide,8.7,19.4,2.0,0.6,7.61,ENE,33.0,ENE,NE,17.0,15.0,47.0,29.0,1026.4,1023.2,4.45,4.51,14.7,19.1,Yes,No
2014-09-20,Adelaide,11.4,23.2,0.0,5.47,7.61,E,35.0,ENE,WSW,15.0,15.0,28.0,23.0,1026.6,1024.6,4.45,4.51,18.0,22.5,No,No
2014-09-21,Adelaide,9.6,24.2,0.0,5.47,7.61,ENE,33.0,N,NNE,11.0,9.0,29.0,21.0,1030.6,1026.5,4.45,4.51,18.7,23.5,No,No
2014-09-22,Adelaide,9.5,26.7,0.0,12.6,7.61,NNW,37.0,NNE,N,15.0,13.0,21.0,9.0,1026.0,1021.2,4.45,4.51,20.5,26.2,No,No
2014-09-23,Adelaide,16.7,26.8,0.0,5.4,7.61,N,44.0,N,NNE,19.0,20.0,42.0,27.0,1021.0,1015.9,4.45,4.51,21.3,25.9,No,Yes
2014-09-24,Adelaide,14.9,23.1,1.2,5.0,7.61,W,33.0,N,WSW,9.0,19.0,61.0,54.0,1015.5,1013.7,4.45,4.51,19.2,21.9,Yes,No
2014-09-25,Adelaide,13.9,16.9,0.0,3.8,7.61,WSW,31.0,SSW,SW,17.0,13.0,65.0,53.0,1023.0,1022.3,4.45,4.51,15.1,15.4,No,No
2014-09-26,Adelaide,11.2,22.0,0.8,2.2,7.61,SW,26.0,NNE,WSW,9.0,11.0,86.0,58.0,1023.8,1020.9,4.45,4.51,13.1,18.2,No,No
2014-09-27,Adelaide,11.8,30.6,0.0,5.47,7.61,N,48.0,NNE,NNW,17.0,19.0,32.0,19.0,1018.9,1014.6,4.45,4.51,22.0,30.1,No,No
2014-09-28,Adelaide,21.6,29.6,0.0,5.47,7.61,NNW,67.0,N,WSW,30.0,28.0,20.0,36.0,1009.4,1007.6,4.45,4.51,25.1,25.0,No,No
2014-09-29,Adelaide,12.0,21.9,0.0,14.8,7.61,W,41.0,N,WNW,15.0,20.0,75.0,44.0,1016.6,1013.5,4.45,4.51,15.8,21.0,No,No
2014-09-08,Adelaide,17.7,25.4,0.0,14.2,7.61,N,59.0,NNE,NNE,22.0,20.0,23.0,20.0,1012.8,1003.9,4.45,4.51,19.7,24.8,No,Yes
2014-06-26,Adelaide,12.7,15.7,2.0,0.8,7.61,NW,39.0,N,NNW,11.0,20.0,92.0,70.0,1022.2,1019.9,4.45,4.51,13.0,14.6,Yes,No
2014-09-07,Adelaide,13.0,23.2,0.0,5.47,7.61,N,52.0,NNE,NE,19.0,28.0,29.0,18.0,1023.7,1018.3,4.45,4.51,18.7,22.8,No,No
2014-09-05,Adelaide,5.7,18.7,0.0,1.8,7.61,SSE,28.0,E,W,11.0,15.0,47.0,41.0,1024.7,1023.3,4.45,4.51,15.4,18.0,No,No
2014-08-15,Adelaide,8.5,20.3,0.0,2.0,7.61,E,48.0,WNW,E,7.0,13.0,40.0,40.0,1026.8,1022.9,4.45,4.51,15.0,18.1,No,No
2014-08-16,Adelaide,10.3,14.0,0.0,5.47,7.61,SE,46.0,SW,S,9.0,15.0,75.0,60.0,1021.6,1019.4,4.45,4.51,10.3,13.0,No,Yes
2014-08-17,Adelaide,9.4,16.2,1.8,5.47,7.61,SSE,39.0,S,WSW,13.0,19.0,63.0,73.0,1021.4,1020.5,4.45,4.51,11.6,13.5,Yes,No
2014-08-18,Adelaide,6.2,14.7,0.0,5.2,7.61,SSE,30.0,W,S,7.0,9.0,75.0,53.0,1024.9,1023.0,4.45,4.51,12.1,14.3,No,No
2014-08-19,Adelaide,5.3,14.9,0.0,1.6,7.61,S,28.0,ESE,S,13.0,13.0,60.0,48.0,1026.9,1025.1,4.45,4.51,11.4,13.9,No,No
2014-08-20,Adelaide,6.9,15.1,0.0,1.4,7.61,ESE,30.0,ESE,WSW,13.0,15.0,50.0,50.0,1027.8,1026.3,4.45,4.51,12.0,13.8,No,No
2014-08-21,Adelaide,6.1,19.3,0.0,2.2,7.61,E,30.0,ENE,NNW,9.0,9.0,47.0,39.0,1027.4,1024.0,4.45,4.51,13.8,18.1,No,No
2014-08-22,Adelaide,12.3,21.1,0.0,2.6,7.61,N,37.0,NNE,NNE,13.0,15.0,30.0,24.0,1026.7,1022.6,4.45,4.51,17.2,20.5,No,No
2014-08-23,Adelaide,15.0,17.9,0.0,5.47,7.61,WNW,41.0,NNW,WSW,17.0,19.0,40.0,56.0,1023.7,1025.2,4.45,4.51,16.3,16.2,No,No
2014-08-24,Adelaide,6.0,16.2,0.0,5.47,7.61,W,26.0,NNW,W,9.0,15.0,86.0,55.0,1031.2,1029.6,4.45,4.51,10.3,15.4,No,No
2014-08-25,Adelaide,4.2,18.6,0.0,8.0,7.61,WNW,20.0,SSW,WSW,7.0,13.0,76.0,51.0,1032.3,1028.2,4.45,4.51,11.1,17.1,No,No
2014-08-26,Adelaide,4.7,19.2,0.0,1.0,7.61,SW,26.0,N,WSW,0.0,11.0,69.0,47.0,1028.2,1024.3,4.45,4.51,12.2,18.8,No,No
2014-08-27,Adelaide,5.8,22.0,0.0,2.0,7.61,WSW,24.0,NNW,WSW,9.0,15.0,47.0,41.0,1027.4,1025.7,4.45,4.51,16.2,21.0,No,No
2014-08-28,Adelaide,7.3,23.5,0.0,2.4,7.61,N,20.0,NNE,WSW,2.0,11.0,61.0,36.0,1029.3,1026.9,4.45,4.51,14.6,23.0,No,No
2014-08-29,Adelaide,7.8,24.7,0.0,3.4,7.61,N,20.0,N,W,0.0,9.0,53.0,32.0,1028.7,1025.5,4.45,4.51,16.7,23.5,No,No
2014-08-30,Adelaide,8.5,25.0,0.0,5.47,7.61,NW,37.0,NNW,NW,9.0,15.0,44.0,23.0,1023.8,1019.8,4.45,4.51,18.5,23.9,No,No
2014-08-31,Adelaide,12.3,23.4,0.0,6.0,7.61,N,43.0,NE,N,11.0,20.0,29.0,24.0,1015.9,1010.6,4.45,4.51,17.7,22.3,No,Yes
2014-09-01,Adelaide,11.3,15.8,6.8,3.0,7.61,WNW,44.0,N,WSW,0.0,20.0,90.0,44.0,1014.1,1014.6,4.45,4.51,11.7,15.5,Yes,Yes
2014-09-02,Adelaide,6.3,16.2,5.6,2.2,7.61,SW,39.0,SSW,SW,11.0,17.0,65.0,60.0,1025.3,1024.9,4.45,4.51,11.9,13.5,Yes,No
2014-09-03,Adelaide,5.6,14.7,0.4,2.4,7.61,N,35.0,NE,NNW,4.0,15.0,68.0,49.0,1025.1,1020.7,4.45,4.51,10.4,14.6,No,Yes
2014-09-04,Adelaide,9.2,16.2,4.8,1.0,7.61,E,28.0,ENE,E,9.0,11.0,69.0,53.0,1017.6,1017.2,4.45,4.51,12.0,15.4,Yes,No
2014-09-06,Adelaide,6.9,21.2,0.0,5.47,7.61,N,35.0,ENE,NNE,20.0,17.0,33.0,21.0,1027.6,1023.9,4.45,4.51,17.2,20.7,No,No
2014-06-25,Adelaide,12.0,16.1,6.0,0.8,7.61,NW,54.0,W,WNW,17.0,24.0,92.0,79.0,1021.2,1019.7,4.45,4.51,12.9,14.0,Yes,Yes
2014-06-24,Adelaide,8.1,15.9,26.0,1.2,7.61,WSW,54.0,WNW,WSW,26.0,26.0,94.0,68.0,1013.4,1014.8,4.45,4.51,12.7,15.2,Yes,Yes
2014-06-23,Adelaide,8.6,12.8,12.6,4.4,7.61,SW,72.0,SW,W,19.0,22.0,73.0,67.0,1007.0,1009.3,4.45,4.51,10.9,11.7,Yes,Yes
2014-04-13,Adelaide,9.4,21.5,0.0,5.47,9.6,SSE,33.0,NNW,S,7.0,17.0,71.0,48.0,1021.8,1020.3,4.45,4.51,16.1,20.7,No,No
2014-04-14,Adelaide,12.6,21.9,0.0,7.8,10.4,SE,44.0,SSE,SSE,13.0,15.0,49.0,35.0,1023.2,1021.3,4.45,4.51,18.4,21.7,No,No
2014-04-15,Adelaide,12.2,22.5,0.0,4.4,10.8,SSE,28.0,E,ESE,11.0,11.0,50.0,40.0,1024.1,1021.1,4.45,4.51,18.3,21.7,No,No
2014-04-16,Adelaide,10.0,23.8,0.0,3.2,10.2,WNW,26.0,N,WNW,7.0,15.0,60.0,31.0,1020.9,1019.1,4.45,4.51,17.2,23.3,No,No
2014-04-17,Adelaide,10.9,24.2,0.0,2.4,8.4,W,22.0,NNE,WNW,9.0,13.0,75.0,42.0,1021.8,1019.6,4.45,4.51,17.6,23.6,No,Yes
2014-04-18,Adelaide,15.1,20.5,1.8,5.47,8.9,SW,39.0,SSW,S,11.0,17.0,87.0,34.0,1021.8,1021.4,4.45,4.51,16.7,20.4,Yes,No
2014-04-19,Adelaide,9.0,19.6,0.0,5.47,5.3,W,26.0,N,WSW,7.0,17.0,66.0,43.0,1023.5,1019.1,4.45,4.51,13.8,19.0,No,No
2014-04-20,Adelaide,9.2,22.5,0.0,5.47,9.6,W,20.0,NNE,W,6.0,11.0,50.0,41.0,1019.7,1017.5,4.45,4.51,16.6,21.3,No,No
2014-04-21,Adelaide,15.0,28.5,0.0,5.47,4.4,NNW,48.0,NNE,NNW,17.0,26.0,35.0,27.0,1014.4,1011.1,4.45,4.51,22.4,27.4,No,No
2014-04-22,Adelaide,16.7,21.4,0.0,15.2,8.5,SW,35.0,S,WSW,13.0,22.0,66.0,50.0,1017.2,1017.0,4.45,4.51,18.6,19.8,No,No
2014-04-23,Adelaide,8.1,20.9,0.0,3.6,9.2,WNW,22.0,N,SSW,0.0,9.0,63.0,34.0,1018.8,1014.9,4.45,4.51,14.6,20.1,No,Yes
2014-04-24,Adelaide,12.9,21.7,1.2,2.0,9.5,WSW,28.0,S,SSW,17.0,15.0,71.0,41.0,1018.7,1017.5,4.45,4.51,17.2,21.0,Yes,No
2014-04-25,Adelaide,9.0,23.3,0.0,5.47,4.9,NNW,39.0,NE,WNW,13.0,11.0,43.0,43.0,1017.4,1011.9,4.45,4.51,17.9,22.2,No,Yes
2014-04-26,Adelaide,11.8,21.3,1.2,5.47,9.1,S,35.0,SSW,SSE,13.0,17.0,75.0,60.0,1016.1,1017.1,4.45,4.51,18.2,19.3,Yes,No
2014-04-27,Adelaide,10.7,22.2,0.0,5.47,8.5,ENE,35.0,NE,NE,15.0,15.0,41.0,38.0,1023.7,1019.4,4.45,4.51,14.9,21.3,No,No
2014-04-28,Adelaide,14.9,29.2,0.0,10.6,6.6,N,43.0,NNE,N,17.0,17.0,46.0,33.0,1014.8,1010.2,4.45,4.51,22.0,29.1,No,Yes
2014-04-29,Adelaide,13.9,19.3,24.4,3.8,5.7,SW,54.0,NW,W,9.0,24.0,94.0,54.0,1014.0,1012.3,4.45,4.51,14.1,18.7,Yes,Yes
2014-04-30,Adelaide,11.0,18.3,1.6,2.2,6.7,WSW,24.0,SW,WSW,6.0,11.0,61.0,48.0,1021.6,1020.5,4.45,4.51,14.0,17.1,Yes,No
2014-05-01,Adelaide,10.2,17.8,0.0,1.0,7.61,WNW,33.0,NE,NNW,11.0,17.0,65.0,53.0,1018.7,1014.2,4.45,4.51,13.9,16.1,No,Yes
2014-05-02,Adelaide,9.6,12.1,12.4,1.2,7.61,WSW,41.0,N,SSW,0.0,9.0,91.0,87.0,1007.8,1006.5,4.45,4.51,10.5,10.0,Yes,Yes
2014-05-03,Adelaide,7.2,15.8,8.0,5.47,7.61,SW,52.0,S,SSW,15.0,20.0,58.0,45.0,1010.6,1010.7,4.45,4.51,12.1,14.8,Yes,No
2014-04-12,Adelaide,14.4,21.1,0.0,5.47,8.1,SSE,28.0,SSE,SSE,15.0,11.0,58.0,45.0,1022.0,1018.6,4.45,4.51,15.5,20.8,No,No
2014-05-04,Adelaide,5.9,16.8,0.0,5.47,7.61,W,26.0,NE,WSW,7.0,11.0,62.0,52.0,1017.9,1016.7,4.45,4.51,11.6,16.0,No,No
2014-04-11,Adelaide,15.4,19.0,0.2,3.0,1.7,S,41.0,S,S,15.0,17.0,72.0,65.0,1018.8,1017.6,4.45,4.51,16.7,18.0,No,No
2014-04-09,Adelaide,18.5,22.1,15.0,0.2,0.0,ENE,22.0,W,ENE,2.0,13.0,91.0,72.0,1016.0,1012.8,4.45,4.51,19.3,21.7,Yes,Yes
2014-03-19,Adelaide,13.3,25.4,0.0,3.6,11.0,WSW,26.0,E,WSW,7.0,13.0,67.0,45.0,1026.9,1024.3,4.45,4.51,17.7,24.5,No,No
2014-03-20,Adelaide,14.2,32.6,0.0,4.0,10.9,W,30.0,NNE,W,7.0,19.0,52.0,24.0,1021.4,1017.8,4.45,4.51,19.8,31.9,No,No
2014-03-21,Adelaide,17.9,21.6,0.0,4.8,8.5,SSE,48.0,SSW,SSE,24.0,24.0,71.0,44.0,1020.0,1021.7,4.45,4.51,18.0,20.4,No,No
2014-03-22,Adelaide,11.2,22.6,2.36,5.47,10.7,SE,31.0,SSW,NNE,2.0,7.0,53.0,34.0,1023.8,1020.3,4.45,4.51,13.6,21.1,No,No
2014-03-23,Adelaide,13.3,20.4,2.36,5.47,2.8,SSW,37.0,S,SSE,9.0,17.0,61.0,51.0,1022.5,1022.3,4.45,4.51,14.8,18.0,No,Yes
2014-03-24,Adelaide,10.5,22.2,1.2,12.8,6.1,SSE,37.0,N,S,6.0,15.0,91.0,39.0,1023.3,1021.0,4.45,4.51,13.4,21.6,Yes,No
2014-03-25,Adelaide,13.2,20.2,0.0,2.8,2.3,SSE,31.0,S,SSE,9.0,15.0,64.0,51.0,1023.9,1021.3,4.45,4.51,15.3,19.0,No,No
2014-03-26,Adelaide,13.5,28.3,0.6,1.6,8.5,ENE,31.0,W,WSW,7.0,13.0,71.0,54.0,1021.1,1017.7,4.45,4.51,18.1,25.3,No,No
2014-03-27,Adelaide,15.8,29.2,0.0,3.4,9.7,WSW,28.0,NE,SW,6.0,13.0,65.0,39.0,1017.3,1013.9,4.45,4.51,19.9,27.7,No,No
2014-03-28,Adelaide,15.9,27.5,0.0,3.8,8.6,W,24.0,N,WSW,0.0,13.0,77.0,55.0,1017.2,1015.6,4.45,4.51,18.6,25.1,No,No
2014-03-29,Adelaide,17.0,27.6,0.0,5.47,10.2,WSW,30.0,N,W,0.0,15.0,76.0,46.0,1017.2,1015.5,4.45,4.51,19.0,27.2,No,No
2014-03-30,Adelaide,12.8,32.7,0.0,5.47,10.9,W,24.0,N,WNW,0.0,15.0,75.0,22.0,1018.6,1016.3,4.45,4.51,16.2,32.0,No,No
2014-03-31,Adelaide,16.2,32.5,0.0,12.4,1.0,NE,24.0,NE,N,7.0,7.0,43.0,31.0,1017.3,1015.1,4.45,4.51,25.7,30.3,No,No
2014-04-01,Adelaide,19.9,36.8,0.0,2.8,8.4,WNW,43.0,NE,NNW,13.0,22.0,27.0,17.0,1013.2,1008.6,4.45,4.51,27.5,36.1,No,No
2014-04-02,Adelaide,18.0,23.4,0.8,6.8,4.7,SW,37.0,SSE,SW,17.0,19.0,69.0,52.0,1016.6,1015.7,4.45,4.51,18.1,22.0,No,No
2014-04-03,Adelaide,15.4,21.4,0.0,4.0,4.5,SSE,37.0,S,SSE,11.0,22.0,55.0,51.0,1022.3,1020.9,4.45,4.51,16.7,20.1,No,No
2014-04-04,Adelaide,12.3,21.3,0.0,2.6,10.9,SW,33.0,SSE,SSE,11.0,15.0,64.0,34.0,1023.3,1021.1,4.45,4.51,15.0,20.8,No,No
2014-04-05,Adelaide,10.3,22.1,0.0,5.47,7.61,SE,35.0,WNW,SE,9.0,7.0,66.0,37.0,1024.6,1022.1,4.45,4.51,13.3,20.5,No,No
2014-04-06,Adelaide,10.1,25.0,0.0,5.47,10.1,NE,28.0,SW,WSW,6.0,15.0,59.0,32.0,1023.7,1019.2,4.45,4.51,16.8,24.2,No,No
2014-04-07,Adelaide,16.8,26.2,0.0,11.8,0.9,NE,35.0,NE,NE,19.0,9.0,31.0,36.0,1017.5,1014.7,4.45,4.51,22.6,24.8,No,No
2014-04-08,Adelaide,19.5,23.9,1.0,3.2,0.0,NNE,24.0,N,SSW,9.0,7.0,78.0,85.0,1016.4,1014.8,4.45,4.51,21.2,22.3,No,Yes
