Location,MonthNum,Month,Period,MaxTemp,Rainfall,Humidity3pm,WindSpeed3pm
Hobart,11,Nov,Historical (2008–2017),19.28,2.05,53.07,21.2
Hobart,11,Nov,2024,21.29,0.75,50.17,20.57
Hobart,12,Dec,Historical (2008–2017),21.09,1.53,50.53,22.35
Hobart,12,Dec,2024,23.5,3.92,47.22,20.88
Melbourne,1,Jan,Historical (2008–2017),26.66,1.35,46.07,23.6
Melbourne,1,Jan,2024,25.0,1.89,61.0,23.68
Melbourne,2,Feb,Historical (2008–2017),26.13,2.21,48.37,21.76
Melbourne,2,Feb,2024,27.71,0.07,46.1,24.55
Melbourne,3,Mar,Historical (2008–2017),24.88,1.79,48.4,21.33
Melbourne,3,Mar,2024,25.68,0.07,47.94,24.52
Melbourne,4,Apr,Historical (2008–2017),21.94,2.22,51.69,20.6
Melbourne,4,Apr,2024,19.45,2.18,59.63,23.03
Melbourne,5,May,Historical (2008–2017),18.42,1.67,57.16,19.69
Melbourne,5,May,2024,17.52,0.56,64.45,18.29
Melbourne,6,Jun,Historical (2008–2017),16.06,2.1,61.82,18.56
Melbourne,6,Jun,2024,14.51,0.25,62.87,20.07
Melbourne,7,Jul,Historical (2008–2017),15.76,1.79,57.53,23.09
Melbourne,7,Jul,2024,13.82,1.44,68.26,20.61
Melbourne,8,Aug,Historical (2008–2017),16.75,1.87,52.61,23.99
Melbourne,8,Aug,2024,18.41,0.4,51.45,24.0
Melbourne,9,Sep,Historical (2008–2017),19.09,2.11,48.7,24.56
Melbourne,9,Sep,2024,18.33,1.23,53.93,27.57
Melbourne,10,Oct,Historical (2008–2017),21.02,2.05,46.94,23.81
Melbourne,10,Oct,2024,21.49,1.83,49.26,25.16
Melbourne,11,Nov,Historical (2008–2017),23.45,2.65,47.8,22.23
Melbourne,11,Nov,2024,24.43,1.68,50.07,23.83
Melbourne,12,Dec,Historical (2008–2017),24.7,2.14,47.14,21.52
Melbourne,12,Dec,2024,26.98,1.03,43.26,26.32
Perth,1,Jan,Historical (2008–2017),32.43,0.49,38.87,17.36
Perth,1,Jan,2024,32.21,1.12,35.26,16.29
Perth,2,Feb,Historical (2008–2017),32.07,0.86,39.11,15.88
Perth,2,Feb,2024,33.83,0.3,28.24,15.24
Perth,3,Mar,Historical (2008–2017),29.76,0.65,40.51,15.09
Perth,3,Mar,2024,28.49,0.2,38.07,18.07
Perth,4,Apr,Historical (2008–2017),26.42,1.11,46.25,12.7
Perth,4,Apr,2024,25.68,0.13,34.23,16.1
Perth,5,May,Historical (2008–2017),22.25,2.96,50.21,11.13
Perth,5,May,2024,22.03,3.23,49.81,13.55
Perth,6,Jun,Historical (2008–2017),19.73,3.6,54.64,10.99
Perth,6,Jun,2024,16.92,6.99,66.93,13.76
Perth,7,Jul,Historical (2008–2017),18.37,4.3,56.46,11.79
Perth,7,Jul,2024,15.74,7.8,69.9,17.23
Perth,8,Aug,Historical (2008–2017),19.67,3.28,52.74,12.95
Perth,8,Aug,2024,16.34,9.18,68.74,20.17
Perth,9,Sep,Historical (2008–2017),20.67,2.75,51.1,15.21
Perth,9,Sep,2024,19.95,2.65,49.4,14.87
Perth,10,Oct,Historical (2008–2017),24.28,1.0,46.8,16.15
Perth,10,Oct,2024,22.52,3.43,52.67,16.23
Perth,11,Nov,Historical (2008–2017),26.99,0.98,44.38,17.15
Perth,11,Nov,2024,25.01,0.78,44.4,15.07
Perth,12,Dec,Historical (2008–2017),29.45,0.53,40.06,18.17
Perth,12,Dec,2024,30.21,0.25,37.41,17.16
Sydney,1,Jan,Historical (2008–2017),27.52,3.13,58.47,21.22
Sydney,1,Jan,2024,29.19,1.71,59.16,21.16
Sydney,2,Feb,Historical (2008–2017),26.88,4.32,60.82,20.67
Sydney,2,Feb,2024,29.52,3.7,59.14,19.45
Sydney,3,Mar,Historical (2008–2017),25.88,4.48,59.8,20.25
Sydney,3,Mar,2024,28.38,0.97,52.0,16.9
Sydney,4,Apr,Historical (2008–2017),23.5,5.19,57.73,17.89
Sydney,4,Apr,2024,24.5,5.72,56.2,16.37
Sydney,5,May,Historical (2008–2017),21.15,2.43,52.05,16.28
Sydney,5,May,2024,20.76,0.07,59.61,14.41
Sydney,6,Jun,Historical (2008–2017),18.37,5.82,57.35,15.62
Sydney,6,Jun,2024,17.54,5.88,57.87,11.28
Sydney,7,Jul,Historical (2008–2017),17.99,2.85,49.49,16.96
Sydney,7,Jul,2024,17.59,1.67,50.4,15.57
Sydney,8,Aug,Historical (2008–2017),19.34,2.16,46.11,18.09
Sydney,8,Aug,2024,21.61,0.7,46.55,14.45
Sydney,9,Sep,Historical (2008–2017),21.99,1.82,48.54,20.92
Sydney,9,Sep,2024,23.78,1.07,37.63,19.93
Sydney,10,Oct,Historical (2008–2017),23.47,2.16,51.03,21.13
Sydney,10,Oct,2024,24.29,1.27,47.39,21.19
Sydney,11,Nov,Historical (2008–2017),24.95,2.91,57.49,21.59
Sydney,11,Nov,2024,27.75,1.76,54.43,19.03
Sydney,12,Dec,Historical (2008–2017),25.82,2.39,57.71,22.17
Sydney,12,Dec,2024,30.46,1.8,48.16,22.87
